"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2021","101671",,"Not Submitted","6101 6115 N SEELEY AVE","60659","0.0","false","WEST RIDGE",,"65,250",,,,,,,,,,,,,,,,"41.99046172","-87.70620782","POINT (-87.70620782 41.99046172)","2021-101671"
"2021","101826","Drexel Building","Not Submitted","8136 8142 S DREXEL AVE","60619","0.0","false","CHATHAM",,"66,888",,,,,,,,,,,,,,,,"41.74401302","-87.60549928","POINT (-87.60549928 41.74401302)","2021-101826"
"2021","102323",,"Not Submitted","3515 3525 W FRANKLIN BLVD","60624","0.0","false","HUMBOLDT PARK",,"93,000",,,,,,,,,,,,,,,,"41.8808242","-87.72327934","POINT (-87.72327934 41.8808242)","2021-102323"
"2021","104374",,"Not Submitted","6000  N SHERIDAN RD","60660","0.0","false","EDGEWATER",,"55,686",,,,,,,,,,,,,,,,"41.99090057","-87.66660744","POINT (-87.66660744 41.99090057)","2021-104374"
"2021","109238",,"Not Submitted","4572  N MILWAUKEE AVE","60630","0.0","false","PORTAGE PARK",,"63,800",,,,,,,,,,,,,,,,"41.97200414","-87.75756578","POINT (-87.75756578 41.97200414)","2021-109238"
"2021","112801",,"Not Submitted","5740  N SHERIDAN RD","60660","0.0","false","EDGEWATER",,"104,500",,,,,,,,,,,,,,,,"41.99090057","-87.66660744","POINT (-87.66660744 41.99090057)","2021-112801"
"2021","115231",,"Not Submitted","1209 1213 W SHERWIN AVE","60626","0.0","false","ROGERS PARK",,"59,296",,,,,,,,,,,,,,,,"42.01036185","-87.66829765","POINT (-87.66829765 42.01036185)","2021-115231"
"2021","116534",,"Not Submitted","410  E BOWEN AVE","60653","0.0","false","GRAND BOULEVARD",,"156,544",,,,,,,,,,,,,,,,"41.82021138","-87.61246867","POINT (-87.61246867 41.82021138)","2021-116534"
"2021","119405",,"Not Submitted","226 W ONTARIO ST","60654","0.0","false","NEAR NORTH SIDE",,"57,600",,,,,,,,,,,,,,,,"41.89320603","-87.63490429","POINT (-87.63490429 41.89320603)","2021-119405"
"2021","130218",,"Not Submitted","2430 2458 W GEORGE ST","60618","0.0","false","AVONDALE",,"82,800",,,,,,,,,,,,,,,,"41.93399769","-87.68971091","POINT (-87.68971091 41.93399769)","2021-130218"
