"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2022","256888",,"Submitted Data","318 N CARPENTER ST","60607","4.0","false",,"Office","104,849","2019","1",,"98","1,669,219.6","1,726,089.1","0","0",,"32.4","61.9","32.8","61.4","311.5","3","41.88736471233","-87.65350531714","POINT (-87.653505317143 41.88736471232649)","2022-256888"
"2022","256882",,"Submitted Data","1648 W DIVISION ST","60622","1.5","false",,"Multifamily Housing","106,888","2020","1",,"39","1,461,855.9","8,176,399.5","0","0",,"105","138.1","108.6","139.8","638.8","7","41.90342440538","-87.6694045778","POINT (-87.66940457779671 41.903424405382026)","2022-256882"
"2022","160184","29 E. Madison LLC","Submitted Data","29 E Madison St","60602","2.5","false","LOOP","Office","240,076","1904","1",,"59","11,057,421.2","17,039,500","0","0",,"117","203.5","122.7","209.4","2,361.5","9.8","41.88196533025","-87.62679322159","POINT (-87.62679322159418 41.881965330252534)","2022-160184"
"2022","134776","University Club of Chicago","Submitted Data","76 E Monroe St","60603","1.0","false","LOOP","Hotel","144,036","1907","1",,,"13,336,595.5","26,575,349.5","0","0",,"277.1","453","282.4","455.2","3,277.6","22.8","41.88092403509","-87.62493419985","POINT (-87.62493419985192 41.88092403509479)","2022-134776"
"2022","256963",,"Not Submitted","4351 S Drexel Boulevard","60653","0.0","false",,,"62,000",,,,,,,,,,,,,,,,"41.81534262157","-87.60387350237","POINT (-87.60387350237015 41.815342621567204)","2022-256963"
"2022","128321",,"Not Submitted","2315  W LEMOYNE ST","60622","0.0","false","WEST TOWN",,"76,497",,,,,,,,,,,,,,,,"41.90840637741","-87.68543081077","POINT (-87.68543081077131 41.90840637741184)","2022-128321"
"2022","256830",,"Not Submitted","717 S. Wells",,"0.0","false",,,"100,000",,,,,,,,,,,,,,,,"41.87296747272","-87.63344780864","POINT (-87.63344780864057 41.87296747271569)","2022-256830"
"2022","101547","Mercy Chicago - Hospital","Not Submitted","2525 S Michigan Ave","60616","0.0","false","NEAR SOUTH SIDE",,"750,000",,,,,,,,,,,,,,,,"41.84671695665","-87.62336972761","POINT (-87.62336972761213 41.84671695664648)","2022-101547"
"2022","101757","IL0000FC - Chicago Federal Ctr","Submitted Data","219 S Dearborn","60604","0.0","false","LOOP",,"3,176,860",,,,,,,,,,,,,,,,"41.87896683615","-87.6291933561","POINT (-87.62919335609855 41.87896683614633)","2022-101757"
"2022","101559","IL0303ZZ - Metcalf Federal Bldg","Submitted Data","77 W Jackson","60604","0.0","false","LOOP",,"839,825",,,,,,,,,,,,,,,,"41.87804100376","-87.63049344911","POINT (-87.63049344911161 41.87804100375637)","2022-101559"
"2022","102160","108 North State Street, LLC","Not Submitted","108 N State St","60602","0.0","false","LOOP",,"1,162,380",,,,,,,,,,,,,,,,"41.88342263701","-87.62802165208","POINT (-87.62802165207536 41.88342263701488)","2022-102160"
"2022","251248","Skybridge CA","Not Submitted","737 W Washington Blvd","60661","0.0","false","NEAR WEST SIDE",,"875,999",,,,,,,,,,,,,,,,"41.88303934238","-87.64717363846","POINT (-87.64717363845762 41.883039342376286)","2022-251248"
"2022","256568","Vista Tower","Not Submitted","363 E Wacker Dr","60601","0.0","false","Loop",,"1,782,886",,,,,,,,,,,,,,,,"41.88746439665","-87.61786023107","POINT (-87.61786023106754 41.88746439664589)","2022-256568"
"2022","101794","225 W Wacker","Not Submitted","225 W Wacker Dr","60606","0.0","false","LOOP",,"810,498",,,,,,,,,,,,,,,,"41.88670922203","-87.63471089946","POINT (-87.6347108994595 41.88670922202607)","2022-101794"
"2022","250004","Kennedy-King College","Not Submitted","6301 S Halsted Ave","60621","0.0","false","ENGLEWOOD",,"741,244",,,,,,,,,,,,,,,,"41.7796613369","-87.64463773882","POINT (-87.64463773881644 41.779661336898904)","2022-250004"
"2022","242935","The New York Private Residences","Submitted Data","3660 N Lake Shore Dr","60613","0.0","false","LAKE VIEW",,"748,762",,,,,,,,,,,,,,,,"41.95017256463","-87.64454815815","POINT (-87.6445481581548 41.95017256462572)","2022-242935"
"2022","100856","United Center","Not Submitted","1901 W Madison St","60612","0.0","false","NEAR WEST SIDE",,"2,289,000",,,,,,,,,,,,,,,,"41.8812414568","-87.67428253395","POINT (-87.67428253395332 41.881241456803345)","2022-100856"
"2022","102545","Chicago Vocational Career Academy -CPS","Exempt","2106 E 87th St","60617",,"true","AVALON PARK",,"684,248",,,,,,,,,,,,,,,,"41.73720538065","-87.57299104146","POINT (-87.57299104146023 41.737205380648014)","2022-102545"
"2022","101742","James R Thompson Center","Not Submitted","100 W Randolph St","60601","0.0","false","LOOP",,"1,193,163",,,,,,,,,,,,,,,,"41.88458626715","-87.63101044589","POINT (-87.63101044588599 41.88458626715456)","2022-101742"
"2022","256658","Midpointe Apartments","Submitted Data","4050 West 115th Street",,"4.0","false",,"Multifamily Housing","393,938","1973","8",,"75","6,388,293.5","20,841,006.3","0","0",,"69.1","101","71.9","102.6","1,948.4","4.9","41.68404416098","-87.72196287522","POINT (-87.72196287522412 41.68404416097816)","2022-256658"
"2022","250062","RJ Quinn Academy","Submitted Data","558 W De Koven St","60607","2.0","false","NEAR WEST SIDE","Adult Education","66,285","1961","1",,,"2,649,529.2","3,322,169.7","0","0",,"90.1","164.5","91.9","165.6","525.4","7.9","41.86911730778","-87.64134962811","POINT (-87.64134962810887 41.869117307784904)","2022-250062"
"2022","101545",,"Submitted Data","849 863 W BUENA AVE","60613","2.0","false","UPTOWN","Multifamily Housing","51,163","1925","1",,"50","541,560.1","4,310,877.6","0","0",,"94.8","118.1","101.2","123.8","300.3","5.9","41.95835278316","-87.65180597369","POINT (-87.65180597369445 41.95835278315766)","2022-101545"
"2022","160438","155 North Wacker","Submitted Data","155 N Wacker Dr","60606","4.0","false","LOOP","Office","1,484,327","2009","1",,"75","63,482,520.5","0","0","29,929,202.7",,"66.4","145.8","64.4","144.9","9,938.8","7.1","41.88461561705","-87.6366823578","POINT (-87.63668235780031 41.88461561705127)","2022-160438"
"2022","157280","Noble Square Cooperative","Submitted Data","1165 N MILWAUKEE AVE","60642","2.5","false","WEST TOWN","Multifamily Housing","284,850","1969","1",,"59","5,337,441.6","22,518,851.5","0","0",,"97.8","135.5","101.6","138.6","1,899.1","6.7","41.90300503924","-87.66570654445","POINT (-87.66570654445466 41.903005039235026)","2022-157280"
"2022","251446","Randolph Elementary -CPS","Exempt","7316 S Hoyne Ave","60636",,"true","WEST ENGLEWOOD",,"78,450",,,,,,,,,,,,,,,,"41.76059741181","-87.67600175473","POINT (-87.67600175472701 41.76059741181121)","2022-251446"
"2022","103871",,"Submitted Data","111 S PEORIA ST","60607","4.0","false","NEAR WEST SIDE","Multifamily Housing","255,100","2017","1",,"96","4,178,418.8","6,607,850.3","0","0",,"47.8","82.5","49.4","82.9","901.3","4","41.8800879626","-87.64949931059","POINT (-87.64949931059303 41.88008796259812)","2022-103871"
